suburb,price
Abbotsford,3725000.0
Alexandria,2055000.0
Allawah,1452500.0
Annandale,2161500.0
Arncliffe,1500000.0
Ashbury,1811000.0
Ashfield,2255000.0
Balgowlah,3905000.0
Balmain,2656933.3333333335
Balmain East,6723000.0
Bass Hill,1360000.0
Baulkham Hills,1853000.0
Beecroft,3209500.0
Belfield,2045000.0
Beverley Park,1892500.0
Beverly Hills,1900000.0
Bexley,1631250.0
Birchgrove,2040000.0
Blakehurst,1600000.0
Bondi,5675000.0
Bondi Beach,5150000.0
Bondi Junction,2991666.6666666665
Burwood,4130727.272727273
Burwood Heights,1805000.0
Cammeray,3166666.6666666665
Camperdown,2563981.3333333335
Campsie,2577000.0
Canterbury,1715000.0
Carlingford,2394833.3333333335
Chatswood,3030000.0
Chester Hill,1120000.0
Clovelly,7800000.0
Concord,3531111.0
Concord West,2718333.3333333335
Connells Point,4200000.0
Constitution Hill,1350000.0
Coogee,4273333.333333333
Crows Nest,2212500.0
Croydon,2708714.285714286
Croydon Park,2798333.3333333335
Daceyville,1925000.0
Darlinghurst,2050000.0
Darlington,1845000.0
Denistone,2160000.0
Denistone West,2025000.0
Drummoyne,1975000.0
Dundas,1589500.0
Dundas Valley,1657571.4285714286
Earlwood,1960000.0
East Ryde,2110000.0
Eastwood,2756000.0
Edgecliff,1825000.0
Enfield,2250500.0
Enmore,1960333.3333333333
Epping,2520428.5714285714
Ermington,2099200.0
Fairlight,4716250.0
Five Dock,3372714.285714286
Forest Lodge,2230000.0
Gladesville,2792500.0
Glebe,2653700.0
Granville,1435000.0
Greenacre,1918333.3333333333
Guildford,1800000.0
Guildford West,1230000.0
Haberfield,3550000.0
Homebush,3911250.0
Hurstville,1812500.0
Illawong,3500000.0
Kensington,4256000.0
Kingsford,2479200.0
Kyle Bay,2700000.0
Lane Cove,2842727.272727273
Leichhardt,2097428.5714285714
Lidcombe,1836142.857142857
Lilli Pilli,2800000.0
Lilyfield,2496285.714285714
Lugarno,1959250.0
Manly,4600000.0
Maroubra,4032000.0
Marrickville,1996250.0
Mascot,2062500.0
Merrylands,1273500.0
Miranda,2107500.0
Mosman,3735000.0
Naremburn,3300000.0
Newtown,2075000.0
North Balgowlah,3472857.1428571427
North Parramatta,1643142.857142857
North Rocks,1913500.0
North Ryde,2624593.75
North Strathfield,2480000.0
North Sydney,1460000.0
Oatlands,2368333.3333333335
Paddington,2450000.0
Pagewood,3140000.0
Parramatta,1600000.0
Peakhurst,1880000.0
Pendle Hill,1060000.0
Penshurst,1731400.0
Petersham,2000000.0
Punchbowl,840000.0
Queens Park,4950000.0
Randwick,3141472.0
Redfern,1698666.6666666667
Regents Park,1500000.0
Riverwood,1447500.0
Rodd Point,3949666.6666666665
Rozelle,2157888.888888889
Russell Lea,3540000.0
Rydalmere,1500000.0
Sans Souci,1550000.0
Seaforth,3165000.0
Seven Hills,990000.0
Silverwater,1580000.0
Smithfield,995500.0
South Coogee,2530050.0
Stanmore,2616250.0
Strathfield,4221444.413793104
Strathfield South,2810250.0
Summer Hill,2650000.0
Surry Hills,1520000.0
Sylvania,2230000.0
Telopea,2295000.0
Vaucluse,8735000.0
Wakeley,1370000.0
Wareemba,3650000.0
Waterloo,1800000.0
Wentworthville,1375000.0
West Pennant Hills,2700000.0
West Ryde,2480833.3333333335
Westmead,490000.0
Winston Hills,1400000.0
Yagoona,1085000.0
